observation_date,USSTHPI
1975-01-01,59.65
1975-04-01,60.61
1975-07-01,60.94
1975-10-01,62.11
1976-01-01,62.63
1976-04-01,65.34
1976-07-01,66.34
1976-10-01,67.03
1977-01-01,69.29
1977-04-01,72.43
1977-07-01,74.11
1977-10-01,76.85
1978-01-01,79.25
1978-04-01,82.20
1978-07-01,85.12
1978-10-01,87.47
1979-01-01,91.38
1979-04-01,94.45
1979-07-01,96.49
1979-10-01,98.26
1980-01-01,100.00
1980-04-01,101.62
1980-07-01,104.44
1980-10-01,104.57
1981-01-01,105.09
1981-04-01,107.33
1981-07-01,108.85
1981-10-01,107.54
1982-01-01,106.16
1982-04-01,108.61
1982-07-01,106.85
1982-10-01,111.54
1983-01-01,114.33
1983-04-01,115.78
1983-07-01,116.80
1983-10-01,117.54
1984-01-01,119.28
1984-04-01,120.90
1984-07-01,122.02
1984-10-01,123.02
1985-01-01,124.73
1985-04-01,126.63
1985-07-01,128.60
1985-10-01,130.05
1986-01-01,132.56
1986-04-01,135.34
1986-07-01,137.41
1986-10-01,139.53
1987-01-01,142.30
1987-04-01,144.51
1987-07-01,146.18
1987-10-01,147.12
1988-01-01,149.40
1988-04-01,152.40
1988-07-01,153.99
1988-10-01,155.39
1989-01-01,157.24
1989-04-01,159.37
1989-07-01,162.77
1989-10-01,164.11
1990-01-01,165.04
1990-04-01,165.74
1990-07-01,166.75
1990-10-01,166.10
1991-01-01,167.49
1991-04-01,168.60
1991-07-01,168.92
1991-10-01,171.28
1992-01-01,172.61
1992-04-01,172.56
1992-07-01,174.53
1992-10-01,175.41
1993-01-01,175.48
1993-04-01,177.17
1993-07-01,178.61
1993-10-01,180.07
1994-01-01,181.19
1994-04-01,182.26
1994-07-01,183.02
1994-10-01,182.85
1995-01-01,183.81
1995-04-01,186.84
1995-07-01,189.71
1995-10-01,191.19
1996-01-01,193.32
1996-04-01,193.63
1996-07-01,194.49
1996-10-01,196.01
1997-01-01,197.63
1997-04-01,199.28
1997-07-01,201.99
1997-10-01,204.61
1998-01-01,207.69
1998-04-01,209.52
1998-07-01,212.46
1998-10-01,214.98
1999-01-01,217.23
1999-04-01,220.12
1999-07-01,223.25
1999-10-01,225.54
2000-01-01,229.85
2000-04-01,233.61
2000-07-01,237.86
2000-10-01,241.50
2001-01-01,247.49
2001-04-01,251.63
2001-07-01,255.53
2001-10-01,258.70
2002-01-01,262.40
2002-04-01,266.88
2002-07-01,272.17
2002-10-01,276.04
2003-01-01,279.39
2003-04-01,282.81
2003-07-01,287.17
2003-10-01,295.28
2004-01-01,299.94
2004-04-01,307.26
2004-07-01,318.97
2004-10-01,325.82
2005-01-01,333.30
2005-04-01,343.99
2005-07-01,354.41
2005-10-01,362.44
2006-01-01,368.17
2006-04-01,371.97
2006-07-01,375.02
2006-10-01,378.88
2007-01-01,380.28
2007-04-01,380.03
2007-07-01,375.78
2007-10-01,374.56
2008-01-01,371.80
2008-04-01,362.41
2008-07-01,350.99
2008-10-01,347.75
2009-01-01,350.32
2009-04-01,341.14
2009-07-01,332.25
2009-10-01,329.71
2010-01-01,325.77
2010-04-01,322.82
2010-07-01,325.95
2010-10-01,323.62
2011-01-01,314.64
2011-04-01,309.09
2011-07-01,311.39
2011-10-01,312.83
2012-01-01,309.55
2012-04-01,308.13
2012-07-01,312.23
2012-10-01,314.69
2013-01-01,316.23
2013-04-01,321.07
2013-07-01,325.63
2013-10-01,328.21
2014-01-01,330.89
2014-04-01,337.31
2014-07-01,342.17
2014-10-01,344.94
2015-01-01,348.75
2015-04-01,354.40
2015-07-01,359.42
2015-10-01,362.30
2016-01-01,365.64
2016-04-01,372.45
2016-07-01,379.11
2016-10-01,382.04
2017-01-01,384.73
2017-04-01,393.33
2017-07-01,399.40
2017-10-01,402.71
2018-01-01,408.35
2018-04-01,415.85
2018-07-01,420.94
2018-10-01,422.36
2019-01-01,427.11
2019-04-01,434.25
2019-07-01,439.78
2019-10-01,443.69
2020-01-01,448.84
2020-04-01,453.36
2020-07-01,461.35
2020-10-01,471.47
2021-01-01,482.88
2021-04-01,509.70
2021-07-01,538.07
2021-10-01,556.49
2022-01-01,576.83
2022-04-01,614.31
2022-07-01,624.03
2022-10-01,617.99
2023-01-01,621.64
2023-04-01,640.12
2023-07-01,651.30
2023-10-01,652.82
2024-01-01,661.67
2024-04-01,678.23
2024-07-01,685.61
2024-10-01,688.82
2025-01-01,693.70
2025-04-01,703.91
