DATE,TARGET
01-01-1960,1.034483
01-02-1960,1.730104
01-03-1960,1.730104
01-04-1960,1.724138
01-05-1960,1.724138
01-06-1960,1.718213
01-07-1960,1.369863
01-08-1960,1.369863
01-09-1960,1.023891
01-10-1960,1.360544
01-11-1960,1.360544
01-12-1960,1.360544
01-01-1961,1.706485
01-02-1961,1.360544
01-03-1961,1.360544
01-04-1961,1.016949
01-05-1961,1.016949
01-06-1961,0.6756757
01-07-1961,1.351351
01-08-1961,1.013514
01-09-1961,1.351351
01-10-1961,0.671141
01-11-1961,0.671141
01-12-1961,0.671141
01-01-1962,0.671141
01-02-1962,1.006711
01-03-1962,1.006711
01-04-1962,1.342282
01-05-1962,1.342282
01-06-1962,1.342282
01-07-1962,1
01-08-1962,1.337793
01-09-1962,1.333333
01-10-1962,1.333333
01-11-1962,1.333333
01-12-1962,1.333333
01-01-1963,1.333333
01-02-1963,0.9966778
01-03-1963,1.328904
01-04-1963,0.9933775
01-05-1963,0.9933775
01-06-1963,1.324503
01-07-1963,1.320132
01-08-1963,1.320132
01-09-1963,0.9868421
01-10-1963,1.315789
01-11-1963,1.315789
01-12-1963,1.644737
01-01-1964,1.644737
01-02-1964,1.644737
01-03-1964,1.311475
01-04-1964,1.311475
01-05-1964,1.311475
01-06-1964,1.30719
01-07-1964,1.302932
01-08-1964,0.9771987
01-09-1964,1.302932
01-10-1964,0.974026
01-11-1964,1.298701
01-12-1964,0.9708738
01-01-1965,0.9708738
01-02-1965,0.9708738
01-03-1965,1.294498
01-04-1965,1.618123
01-05-1965,1.618123
01-06-1965,1.935484
01-07-1965,1.607717
01-08-1965,1.935484
01-09-1965,1.607717
01-10-1965,1.92926
01-11-1965,1.602564
01-12-1965,1.923077
01-01-1966,1.923077
01-02-1966,2.564103
01-03-1966,2.555911
01-04-1966,2.866242
01-05-1966,2.866242
01-06-1966,2.531646
01-07-1966,2.848101
01-08-1966,3.481013
01-09-1966,3.481013
01-10-1966,3.785489
01-11-1966,3.785489
01-12-1966,3.45912
01-01-1967,3.45912
01-02-1967,2.8125
01-03-1967,2.803738
01-04-1967,2.47678
01-05-1967,2.786378
01-06-1967,2.777778
01-07-1967,2.769231
01-08-1967,2.446483
01-09-1967,2.752294
01-10-1967,2.431611
01-11-1967,2.735562
01-12-1967,3.039514
01-01-1968,3.647416
01-02-1968,3.951368
01-03-1968,3.939394
01-04-1968,3.927492
01-05-1968,3.915663
01-06-1968,4.204204
01-07-1968,4.491018
01-08-1968,4.477612
01-09-1968,4.464286
01-10-1968,4.747775
01-11-1968,4.733728
01-12-1968,4.719764
01-01-1969,4.398827
01-02-1969,4.678362
01-03-1969,5.247813
01-04-1969,5.523256
01-05-1969,5.507246
01-06-1969,5.475504
01-07-1969,5.444126
01-08-1969,5.714286
01-09-1969,5.698006
01-10-1969,5.665722
01-11-1969,5.932203
01-12-1969,6.197183
01-01-1970,6.179775
01-02-1970,6.145251
01-03-1970,5.817174
01-04-1970,6.060606
01-05-1970,6.043956
01-06-1970,6.010929
01-07-1970,5.978261
01-08-1970,5.405406
01-09-1970,5.660378
01-10-1970,5.630027
01-11-1970,5.6
01-12-1970,5.570292
01-01-1971,5.291005
01-02-1971,5
01-03-1971,4.712042
01-04-1971,4.155844
01-05-1971,4.404145
01-06-1971,4.639175
01-07-1971,4.358974
01-08-1971,4.615385
01-09-1971,4.081633
01-10-1971,3.807106
01-11-1971,3.282828
01-12-1971,3.266332
01-01-1972,3.266332
01-02-1972,3.508772
01-03-1972,3.5
01-04-1972,3.491272
01-05-1972,3.225806
01-06-1972,2.70936
01-07-1972,2.948403
01-08-1972,2.941176
01-09-1972,3.186275
01-10-1972,3.422983
01-11-1972,3.667482
01-12-1972,3.406326
01-01-1973,3.649635
01-02-1973,3.874092
01-03-1973,4.589372
01-04-1973,5.060241
01-05-1973,5.528846
01-06-1973,5.995204
01-07-1973,5.727923
01-08-1973,7.380952
01-09-1973,7.36342
01-10-1973,7.801418
01-11-1973,8.254717
01-12-1973,8.705882
01-01-1974,9.389671
01-02-1974,10.02331
01-03-1974,10.39261
01-04-1974,10.09174
01-05-1974,10.70615
01-06-1974,10.85973
01-07-1974,11.51241
01-08-1974,10.86475
01-09-1974,11.9469
01-10-1974,12.0614
01-11-1974,12.20044
01-12-1974,12.33766
01-01-1975,11.80258
01-02-1975,11.22881
01-03-1975,10.25105
01-04-1975,10.20833
01-05-1975,9.46502
01-06-1975,9.387755
01-07-1975,9.716599
01-08-1975,8.6
01-09-1975,7.905138
01-10-1975,7.436399
01-11-1975,7.378641
01-12-1975,6.936416
01-01-1976,6.71785
01-02-1976,6.285714
01-03-1976,6.072106
01-04-1976,6.04915
01-05-1976,6.203008
01-06-1976,5.970149
01-07-1976,5.350554
01-08-1976,5.709024
01-09-1976,5.494505
01-10-1976,5.464481
01-11-1976,4.882459
01-12-1976,4.864865
01-01-1977,5.215827
01-02-1977,5.913979
01-03-1977,6.440072
01-04-1977,6.951872
01-05-1977,6.725664
01-06-1977,6.866197
01-07-1977,6.830122
01-08-1977,6.620209
01-09-1977,6.597222
01-10-1977,6.390328
01-11-1977,6.724138
01-12-1977,6.701031
01-01-1978,6.837607
01-02-1978,6.42978
01-03-1978,6.554622
01-04-1978,6.5
01-05-1978,6.965174
01-06-1978,7.413509
01-07-1978,7.704918
01-08-1978,7.843137
01-09-1978,8.306189
01-10-1978,8.928572
01-11-1978,8.885299
01-12-1978,9.017714
01-01-1979,9.28
01-02-1979,9.856915
01-03-1979,10.09464
01-04-1979,10.48513
01-05-1979,10.85271
01-06-1979,10.88957
01-07-1979,11.26332
01-08-1979,11.81818
01-09-1979,12.18045
01-10-1979,12.07154
01-11-1979,12.61128
01-12-1979,13.29394
01-01-1980,13.90922
01-02-1980,14.18234
01-03-1980,14.75645
01-04-1980,14.73088
01-05-1980,14.40559
01-06-1980,14.38451
01-07-1980,13.1327
01-08-1980,12.87263
01-09-1980,12.60054
01-10-1980,12.76596
01-11-1980,12.64822
01-12-1980,12.5163
01-01-1981,11.82519
01-02-1981,11.40684
01-03-1981,10.48689
01-04-1981,10
01-05-1981,9.779951
01-06-1981,9.5526
01-07-1981,10.76179
01-08-1981,10.80432
01-09-1981,10.95238
01-10-1981,10.14151
01-11-1981,9.590643
01-12-1981,8.922364
01-01-1982,8.390804
01-02-1982,7.622298
01-03-1982,6.779661
01-04-1982,6.50954
01-05-1982,6.681514
01-06-1982,7.064018
01-07-1982,6.441048
01-08-1982,5.850488
01-09-1982,5.042919
01-10-1982,5.139186
01-11-1982,4.589114
01-12-1982,3.829787
01-01-1983,3.711559
01-02-1983,3.488372
01-03-1983,3.597884
01-04-1983,3.898841
01-05-1983,3.549061
01-06-1983,2.57732
01-07-1983,2.461539
01-08-1983,2.558854
01-09-1983,2.860061
01-10-1983,2.851324
01-11-1983,3.265306
01-12-1983,3.790984
01-01-1984,4.192229
01-02-1984,4.596527
01-03-1984,4.800817
01-04-1984,4.563895
01-05-1984,4.233871
01-06-1984,4.221106
01-07-1984,4.204204
01-08-1984,4.291417
01-09-1984,4.270109
01-10-1984,4.257426
01-11-1984,4.051383
01-12-1984,3.948667
01-01-1985,3.532875
01-02-1985,3.515625
01-03-1985,3.703704
01-04-1985,3.685742
01-05-1985,3.77176
01-06-1985,3.760849
01-07-1985,3.554275
01-08-1985,3.349282
01-09-1985,3.142857
01-10-1985,3.22887
01-11-1985,3.51377
01-12-1985,3.798671
01-01-1986,3.886256
01-02-1986,3.113208
01-03-1986,2.255639
01-04-1986,1.590271
01-05-1986,1.491146
01-06-1986,1.765799
01-07-1986,1.576994
